Circuit,Country,Length(km),Speed(km/h),Time
Losail Circuit,QATAR,5.38,167.9,115.366
Jerez,SPAIN,4.428,146.4,108.753
Autodromo do Estoril,PORTUGAL,4.182,154.2,97.629
Le Mans,FRANCE,4.273,160.9,93.619
Circuit de Barcelona-Catalunya,SPAIN,4.655,165.1,103.084
Silverstone,GREAT BRITAIN,5.891,150.2,141.432
Assen,NETHERLANDS,4.545,171.7,95.24
Mugello,ITALY,5.245,174.2,108.402
Sachsenring,GERMANY,3.7,161.5,81.846
Mazda Raceway Laguna Seca ,UNITED STATES,3.602,159.1,81.673
Automotodrom Brno,CZECH REPUBLIC,5.403,166,117.191
Indianapolis Motor Speedway,UNITED STATES,4.078,152.1,99.807
Misano World Circuit,ITALY,4.064,162,93.906
MotorLand Aragon,SPAIN,5.078,167.6,109.046
Motegi,JAPAN,4.8,162.9,106.09
Phillip Island,AUSTRALIA,4.445,176.7,90.629
Sepang Circuit,MALAYSIA,5.543,0,0
Comunitat Valenciana,SPAIN,4.005,153.1,94.167
