Times,Track,Country
259,Assen,NETHERLANDS
153,Automotodrom Brno,CZECH REPUBLIC
129,Spa-Francorchamps,BELGIUM
114,Isle of Man,GREAT BRITAIN
111,Monza,ITALY
106,Sachsenring,GERMANY
96,Mugello,ITALY
95,Hockenheim,GERMANY
90,Le Mans,FRANCE
89,Jerez,SPAIN
87,Belfast,IRELAND
76,Jarama,SPAIN
73,Donington Park,GREAT BRITAIN
72,Circuit de Barcelona-Catalunya,SPAIN
72,Nurburgring,GERMANY
72,Imatra,FINLAND
71,Salzburgring,AUSTRIA
66,Misano World Circuit,ITALY
63,Phillip Island,AUSTRALIA
63,Anderstorp,SWEDEN
56,Suzuka,JAPAN
55,Montjuic,SPAIN
53,Imola,ITALY
52,Comunitat Valenciana,SPAIN
52,Silverstone,GREAT BRITAIN
51,Motegi,JAPAN
51,Sepang Circuit,MALAYSIA
46,Rijeka,YUGOSLAVIA
43,Paul Ricard,FRANCE
39,Estoril Circuit,PORTUGAL
36,Losail Circuit,QATAR
36,Opatija,YUGOSLAVIA
31,Oscar A. Galvez,ARGENTINA
28,Clermont-Ferrand,FRANCE
27,Nelson Piquet,BRAZIL
24,Indianapolis Motor Speedway,UNITED STATES
23,Mazda Raceway,UNITED STATES
22,Solitude,GERMANY
21,Shah Alam,MALAYSIA
18,MotorLand Aragon,SPAIN
18,Phakisa Freeway,SOUTH AFRICA
18,Eastern Creek,AUSTRALIA
17,Berne,SWITZERLAND
12,Shanghai Circuit,CHINA
12,San Carlos,VENEZUELA
9,Circuit Of The Americas,UNITED STATES
9,Istanbul Park Circuit,TURKEY
9,Kyalami,SOUTH AFRICA
8,Nogaro,FRANCE
8,Fisco,JAPAN
8,Daytona,UNITED STATES
8,Tampere,FINLAND
7,Karlskoga,SWEDEN
7,Kristianstad,SWEDEN
6,Autodromo Termas de Rio Hondo,ARGENTINA
6,A1-Ring,AUSTRIA
6,Sentul,INDONESIA
6,Hungaroring,HUNGARY
6,Goiania,BRAZIL
6,Rouen,FRANCE
5,Reims,FRANCE
4,Hedemora,SWEDEN
3,Johor,MALAYSIA
3,Interlagos,BRAZIL
3,Magny Cours,FRANCE
3,Mosport,CANADA
3,Albi,FRANCE
2,Zolder,BELGIUM
2,Schotten,GERMANY
2,Geneva,SWITZERLAND
