Rank,Country,Wins,Riders
1,Italy,744,70
2,Spain,516,38
3,United Kingdom,389,49
4,Australia,179,19
5,United States,173,12
6,Germany,172,26
6,Japan,172,32
8,France,70,24
8,Rhodesia,70,3
8,Switzerland,70,10
11,Netherlands,57,14
12,Finland,40,4
13,South Africa,39,3
14,Venezuela,35,3
15,New Zealand,31,7
16,Sweden,23,3
17,San Marino,16,2
18,East Germany,15,1
19,Austria,13,5
19,Hungary,13,2
21,Argentina,9,3
21,Ireland,9,3
23,Brazil,8,2
24,Belgium,7,2
25,Czechoslovakia,4,1
26,Canada,3,1
26,Czech Republic,3,2
